Customer ID,Recency,Frequency,Monetary,R,F,M,RFM Score,Segment,Revenue,Orders,CLV_Estimate
C10056,1,10,3272.0015,5,3,4,12,Loyal Customers,3272.0015,10,4908.00225
C10057,19,6,1243.999,3,1,2,6,Needs Attention,1243.999,6,1865.9985000000001
C10058,8,33,7159.2665,4,5,5,14,Champions,7159.2665,33,10738.89975
C10059,303,8,1875.768,1,2,2,5,Needs Attention,1875.768,8,2813.652
C10060,57,8,1691.749,2,2,2,6,Needs Attention,1691.749,8,2537.6235
C10061,368,4,1026.028,1,1,1,3,At Risk,1026.028,4,1539.042
C10062,3,18,4854.567,5,4,4,13,Champions,4854.567,18,7281.8505000000005
C10063,38,7,3069.945,2,2,3,7,Potential Loyalists,3069.945,7,4604.9175000000005
C10064,6,10,2969.192,4,3,3,10,Loyal Customers,2969.192,10,4453.7880000000005
C10065,10,6,1428.3754999999999,4,1,2,7,Potential Loyalists,1428.3754999999999,6,2142.5632499999997
C10066,4,34,9513.483,5,5,5,15,Champions,9513.483,34,14270.2245
C10067,14,35,8507.586,3,5,5,13,Champions,8507.586,35,12761.378999999999
C10068,9,10,2684.3795,4,3,3,10,Loyal Customers,2684.3795,10,4026.56925
C10069,305,5,1090.854,1,1,1,3,At Risk,1090.854,5,1636.281
C10070,135,5,1098.4155,1,1,1,3,At Risk,1098.4155,5,1647.62325
C10071,24,10,2588.592,3,3,3,9,Potential Loyalists,2588.592,10,3882.888
C10072,67,7,2009.487,2,2,2,6,Needs Attention,2009.487,7,3014.2305
C10073,12,12,2163.9230000000002,4,3,3,10,Loyal Customers,2163.9230000000002,12,3245.8845
C10074,11,9,1915.7935,4,2,2,8,Potential Loyalists,1915.7935,9,2873.69025
C10075,259,6,1993.3609999999999,1,1,2,4,Needs Attention,1993.3609999999999,6,2990.0415
C10076,5,7,1494.131,5,2,2,9,Potential Loyalists,1494.131,7,2241.1965
C10077,35,9,2226.7675,2,2,3,7,Potential Loyalists,2226.7675,9,3340.15125
C10078,49,5,978.582,2,1,1,4,Needs Attention,978.582,5,1467.873
C10079,7,25,6807.2445,4,4,4,12,Loyal Customers,6807.2445,25,10210.86675
C10080,8,26,6157.5835,4,4,4,12,Loyal Customers,6157.5835,26,9236.37525
C10081,13,27,7062.7865,4,4,5,13,Champions,7062.7865,27,10594.17975
C10082,5,26,8019.051,5,4,5,14,Champions,8019.051,26,12028.576500000001
C10083,29,12,2683.7995,3,3,3,9,Potential Loyalists,2683.7995,12,4025.69925
C10084,68,5,1083.116,2,1,1,4,Needs Attention,1083.116,5,1624.674
C10085,27,9,1926.0435000000002,3,2,2,7,Potential Loyalists,1926.0435000000002,9,2889.0652500000006
C10086,2,28,5711.6655,5,4,4,13,Champions,5711.6655,28,8567.49825
C10087,40,6,1928.1645,2,1,2,5,Needs Attention,1928.1645,6,2892.2467500000002
C10088,3,48,12427.1285,5,5,5,15,Champions,12427.1285,48,18640.692750000002
C10089,11,9,2155.849,4,2,3,9,Potential Loyalists,2155.849,9,3233.7735000000002
C10090,11,10,2446.533,4,3,3,10,Loyal Customers,2446.533,10,3669.7995
C10091,23,9,1513.287,3,2,2,7,Potential Loyalists,1513.287,9,2269.9305
C10092,4,6,1012.0445,5,1,1,7,Potential Loyalists,1012.0445,6,1518.06675
C10093,6,16,4443.5525,4,4,4,12,Loyal Customers,4443.5525,16,6665.32875
C10094,8,12,2249.98,4,3,3,10,Loyal Customers,2249.98,12,3374.9700000000003
C10095,58,6,1212.5035,2,1,1,4,Needs Attention,1212.5035,6,1818.7552500000002
C10096,23,3,339.336,3,1,1,5,Needs Attention,339.336,3,509.004
C10097,5,8,743.241,5,2,1,8,Potential Loyalists,743.241,8,1114.8615
C10098,174,4,784.194,1,1,1,3,At Risk,784.194,4,1176.291
C10099,23,3,2196.205,3,1,3,7,Potential Loyalists,2196.205,3,3294.3075
C10100,5,4,1383.216,5,1,2,8,Potential Loyalists,1383.216,4,2074.8239999999996
C10101,25,6,948.506,3,1,1,5,Needs Attention,948.506,6,1422.759
C10102,3,40,11334.271,5,5,5,15,Champions,11334.271,40,17001.4065
C10103,17,30,8468.2135,3,5,5,13,Champions,8468.2135,30,12702.32025
C10104,15,13,4210.7880000000005,3,3,4,10,Loyal Customers,4210.7880000000005,13,6316.182000000001
C10105,13,12,4461.531,4,3,4,11,Loyal Customers,4461.531,12,6692.2965
C10106,22,30,6666.8875,3,5,4,12,Loyal Customers,6666.8875,30,10000.33125
C10107,39,15,3135.084,2,4,3,9,Potential Loyalists,3135.084,15,4702.626
C10108,24,12,3615.446,3,3,4,10,Loyal Customers,3615.446,12,5423.169
C10109,3,10,1542.963,5,3,2,10,Loyal Customers,1542.963,10,2314.4445
C10110,13,54,11762.0435,4,5,5,14,Champions,11762.0435,54,17643.06525
C10111,194,4,418.04949999999997,1,1,1,3,At Risk,418.04949999999997,4,627.0742499999999
C10112,40,15,6283.0055,2,4,4,10,Loyal Customers,6283.0055,15,9424.50825
C10113,11,8,1933.9725,4,2,2,8,Potential Loyalists,1933.9725,8,2900.9587500000002
C10114,43,13,2543.6519999999996,2,3,3,8,Potential Loyalists,2543.6519999999996,13,3815.477999999999
C10115,198,4,2061.034,1,1,3,5,Needs Attention,2061.034,4,3091.5510000000004
C10116,2,24,5009.324,5,4,4,13,Champions,5009.324,24,7513.985999999999
C10117,77,14,3540.9515,1,4,4,9,Potential Loyalists,3540.9515,14,5311.427250000001
C10118,18,18,4922.8575,3,4,4,11,Loyal Customers,4922.8575,18,7384.28625
C10119,3,11,2464.2085,5,3,3,11,Loyal Customers,2464.2085,11,3696.31275
C10120,60,8,1633.1775,2,2,2,6,Needs Attention,1633.1775,8,2449.76625
C10121,3,35,9383.69,5,5,5,15,Champions,9383.69,35,14075.535
C10122,179,7,1411.594,1,2,2,5,Needs Attention,1411.594,7,2117.391
C10123,15,12,2250.3515,3,3,3,9,Potential Loyalists,2250.3515,12,3375.52725
C10124,19,20,6453.8925,3,4,4,11,Loyal Customers,6453.8925,20,9680.838749999999
C10125,41,8,2200.3005000000003,2,2,3,7,Potential Loyalists,2200.3005000000003,8,3300.4507500000004
C10126,93,10,1929.3310000000001,1,3,2,6,Needs Attention,1929.3310000000001,10,2893.9965
C10127,27,19,4515.726000000001,3,4,4,11,Loyal Customers,4515.726000000001,19,6773.589000000001
C10128,3,31,8408.273,5,5,5,15,Champions,8408.273,31,12612.409499999998
C10129,29,10,2282.563,3,3,3,9,Potential Loyalists,2282.563,10,3423.8445
C10130,10,7,1465.9845,4,2,2,8,Potential Loyalists,1465.9845,7,2198.97675
C10131,10,31,6891.552000000001,4,5,5,14,Champions,6891.552000000001,31,10337.328000000001
C10132,68,8,2090.88,2,2,3,7,Potential Loyalists,2090.88,8,3136.32
C10133,95,8,1214.94,1,2,1,4,Needs Attention,1214.94,8,1822.41
C10134,6,40,10404.645499999999,4,5,5,14,Champions,10404.645499999999,40,15606.968249999998
C10135,1,27,7375.0325,5,4,5,14,Champions,7375.0325,27,11062.54875
C10136,63,7,2166.582,2,2,3,7,Potential Loyalists,2166.582,7,3249.8729999999996
C10137,53,11,2924.174,2,3,3,8,Potential Loyalists,2924.174,11,4386.261
C10138,2,24,6503.759,5,4,4,13,Champions,6503.759,24,9755.638500000001
C10139,206,2,301.61,1,1,1,3,At Risk,301.61,2,452.415
C10140,110,8,3901.944,1,2,4,7,Potential Loyalists,3901.944,8,5852.916
C10141,21,45,10965.757,3,5,5,13,Champions,10965.757,45,16448.6355
C10142,57,13,1783.357,2,3,2,7,Potential Loyalists,1783.357,13,2675.0355
C10143,86,6,1292.7515,1,1,2,4,Needs Attention,1292.7515,6,1939.12725
C10144,7,5,1564.721,4,1,2,7,Potential Loyalists,1564.721,5,2347.0815000000002
C10145,5,28,7586.3025,5,4,5,14,Champions,7586.3025,28,11379.45375
C10146,14,38,9519.068,3,5,5,13,Champions,9519.068,38,14278.601999999999
C10147,5,41,11288.878,5,5,5,15,Champions,11288.878,41,16933.317000000003
C10148,95,14,4279.993,1,4,4,9,Potential Loyalists,4279.993,14,6419.989500000001
C10149,72,7,1841.799,1,2,2,5,Needs Attention,1841.799,7,2762.6985
C10150,10,43,9689.439,4,5,5,14,Champions,9689.439,43,14534.158500000001
C10151,54,8,1758.6585,2,2,2,6,Needs Attention,1758.6585,8,2637.9877500000002
C10152,6,17,3654.1935,4,4,4,12,Loyal Customers,3654.1935,17,5481.29025
C10153,5,10,2376.179,5,3,3,11,Loyal Customers,2376.179,10,3564.2685
C10154,28,5,1853.0995,3,1,2,6,Needs Attention,1853.0995,5,2779.64925
C10155,10,20,5000.061,4,4,4,12,Loyal Customers,5000.061,20,7500.0914999999995
C10156,1,11,2782.0095,5,3,3,11,Loyal Customers,2782.0095,11,4173.01425
C10157,27,9,4736.139999999999,3,2,4,9,Potential Loyalists,4736.139999999999,9,7104.209999999999
C10158,10,8,2174.7165,4,2,3,9,Potential Loyalists,2174.7165,8,3262.0747499999998
C10159,9,28,6659.0765,4,4,4,12,Loyal Customers,6659.0765,28,9988.61475
C10160,8,33,7282.603,4,5,5,14,Champions,7282.603,33,10923.9045
C10161,122,9,2209.9465,1,2,3,6,Needs Attention,2209.9465,9,3314.91975
C10162,4,30,7678.661,5,5,5,15,Champions,7678.661,30,11517.9915
C10163,111,4,539.8405,1,1,1,3,At Risk,539.8405,4,809.76075
C10164,1,7,2410.8355,5,2,3,10,Loyal Customers,2410.8355,7,3616.25325
C10165,4,11,2115.8115,5,3,3,11,Loyal Customers,2115.8115,11,3173.7172499999997
C10166,1,16,2700.432,5,4,3,12,Loyal Customers,2700.432,16,4050.6479999999997
C10167,8,16,3783.8065,4,4,4,12,Loyal Customers,3783.8065,16,5675.70975
C10168,8,26,5603.7475,4,4,4,12,Loyal Customers,5603.7475,26,8405.62125
C10169,37,18,3019.245,2,4,3,9,Potential Loyalists,3019.245,18,4528.8675
C10170,37,14,2429.7195,2,4,3,9,Potential Loyalists,2429.7195,14,3644.5792500000002
C10171,10,10,2865.788,4,3,3,10,Loyal Customers,2865.788,10,4298.682
C10172,55,5,1364.4589999999998,2,1,2,5,Needs Attention,1364.4589999999998,5,2046.6884999999997
C10173,5,30,7643.7205,5,5,5,15,Champions,7643.7205,30,11465.580750000001
C10174,14,4,541.661,3,1,1,5,Needs Attention,541.661,4,812.4914999999999
C10175,23,42,10653.7755,3,5,5,13,Champions,10653.7755,42,15980.66325
C10176,40,7,922.3765,2,2,1,5,Needs Attention,922.3765,7,1383.56475
C10177,13,4,744.632,4,1,1,6,Needs Attention,744.632,4,1116.9479999999999
C10178,4,50,12789.727,5,5,5,15,Champions,12789.727,50,19184.590500000002
C10179,23,3,312.831,3,1,1,5,Needs Attention,312.831,3,469.2465
C10180,1,49,11682.9695,5,5,5,15,Champions,11682.9695,49,17524.45425
C10181,75,5,1052.049,1,1,1,3,At Risk,1052.049,5,1578.0735
C10182,59,4,1575.315,2,1,2,5,Needs Attention,1575.315,4,2362.9725
C10183,109,4,2091.3250000000003,1,1,3,5,Needs Attention,2091.3250000000003,4,3136.9875
C10184,4,12,2742.973,5,3,3,11,Loyal Customers,2742.973,12,4114.4595
C10185,53,5,1027.077,2,1,1,4,Needs Attention,1027.077,5,1540.6154999999999
C10186,120,8,1616.3005,1,2,2,5,Needs Attention,1616.3005,8,2424.45075
C10187,6,8,3302.0325,4,2,4,10,Loyal Customers,3302.0325,8,4953.04875
C10188,168,9,3164.687,1,2,3,6,Needs Attention,3164.687,9,4747.0305
C10189,68,3,583.4845,2,1,1,4,Needs Attention,583.4845,3,875.22675
C10190,13,4,1294.833,4,1,2,7,Potential Loyalists,1294.833,4,1942.2495000000001
C10191,6,30,6328.015,4,5,4,13,Champions,6328.015,30,9492.022500000001
C10192,85,5,1392.295,1,1,2,4,Needs Attention,1392.295,5,2088.4425
C10193,14,23,5802.728,3,4,4,11,Loyal Customers,5802.728,23,8704.092
C10194,11,5,1633.551,4,1,2,7,Potential Loyalists,1633.551,5,2450.3265
C10195,92,5,661.7425000000001,1,1,1,3,At Risk,661.7425000000001,5,992.6137500000001
C10196,29,42,9630.696,3,5,5,13,Champions,9630.696,42,14446.044
C10197,36,1,438.33000000000004,2,1,1,4,Needs Attention,438.33000000000004,1,657.4950000000001
C10198,17,26,6794.7555,3,4,4,11,Loyal Customers,6794.7555,26,10192.13325
C10199,7,11,3143.914,4,3,3,10,Loyal Customers,3143.914,11,4715.871
C10200,6,6,2117.911,4,1,3,8,Potential Loyalists,2117.911,6,3176.8665
C10201,1,47,10768.381,5,5,5,15,Champions,10768.381,47,16152.571499999998
C10202,41,7,1931.9450000000002,2,2,2,6,Needs Attention,1931.9450000000002,7,2897.9175000000005
C10203,43,7,1752.576,2,2,2,6,Needs Attention,1752.576,7,2628.864
C10204,7,25,7565.515,4,4,5,13,Champions,7565.515,25,11348.272500000001
C10205,14,31,6623.729,3,5,4,12,Loyal Customers,6623.729,31,9935.5935
C10206,4,24,4639.213,5,4,4,13,Champions,4639.213,24,6958.8195
C10207,5,4,1779.2515,5,1,2,8,Potential Loyalists,1779.2515,4,2668.87725
C10208,83,3,888.4350000000001,1,1,1,3,At Risk,888.4350000000001,3,1332.6525000000001
C10209,19,32,7623.505,3,5,5,13,Champions,7623.505,32,11435.2575
C10210,34,12,3451.421,2,3,4,9,Potential Loyalists,3451.421,12,5177.1314999999995
C10211,7,26,7414.6230000000005,4,4,5,13,Champions,7414.6230000000005,26,11121.934500000001
C10212,14,37,9487.567000000001,3,5,5,13,Champions,9487.567000000001,37,14231.3505
C10213,45,7,3204.813,2,2,3,7,Potential Loyalists,3204.813,7,4807.2195
C10214,6,11,4121.2905,4,3,4,11,Loyal Customers,4121.2905,11,6181.935750000001
C10215,21,37,10427.68,3,5,5,13,Champions,10427.68,37,15641.52
C10216,15,32,6519.4185,3,5,4,12,Loyal Customers,6519.4185,32,9779.12775
C10217,24,16,3683.4425,3,4,4,11,Loyal Customers,3683.4425,16,5525.16375
C10218,79,6,712.414,1,1,1,3,At Risk,712.414,6,1068.621
C10219,8,31,6447.334,4,5,4,13,Champions,6447.334,31,9671.001
C10220,45,15,3451.378,2,4,4,10,Loyal Customers,3451.378,15,5177.067
C10221,212,7,1713.1005,1,2,2,5,Needs Attention,1713.1005,7,2569.65075
C10222,3,39,7153.851,5,5,5,15,Champions,7153.851,39,10730.7765
C10223,53,27,4330.3925,2,4,4,10,Loyal Customers,4330.3925,27,6495.58875
C10224,136,5,839.1525,1,1,1,3,At Risk,839.1525,5,1258.72875
C10225,29,5,1153.784,3,1,1,5,Needs Attention,1153.784,5,1730.6760000000002
C10226,49,5,1417.937,2,1,2,5,Needs Attention,1417.937,5,2126.9055
C10227,8,25,6356.8125,4,4,4,12,Loyal Customers,6356.8125,25,9535.21875
C10228,1,43,9782.887999999999,5,5,5,15,Champions,9782.887999999999,43,14674.331999999999
C10229,22,5,1267.321,3,1,2,6,Needs Attention,1267.321,5,1900.9814999999999
C10230,22,11,1844.618,3,3,2,8,Potential Loyalists,1844.618,11,2766.9269999999997
C10231,80,7,1168.3960000000002,1,2,1,4,Needs Attention,1168.3960000000002,7,1752.5940000000003
C10232,16,24,5076.2925,3,4,4,11,Loyal Customers,5076.2925,24,7614.438749999999
C10233,5,10,2610.0769999999998,5,3,3,11,Loyal Customers,2610.0769999999998,10,3915.1155
C10234,3,26,9076.325,5,4,5,14,Champions,9076.325,26,13614.487500000001
C10235,2,48,11504.1675,5,5,5,15,Champions,11504.1675,48,17256.25125
C10236,20,15,3932.4605,3,4,4,11,Loyal Customers,3932.4605,15,5898.69075
C10237,107,19,4297.7265,1,4,4,9,Potential Loyalists,4297.7265,19,6446.589749999999
C10238,43,13,3561.6385,2,3,4,9,Potential Loyalists,3561.6385,13,5342.45775
C10239,1,13,3701.257,5,3,4,12,Loyal Customers,3701.257,13,5551.8855
C10240,18,33,6555.4935,3,5,4,12,Loyal Customers,6555.4935,33,9833.240249999999
C10241,38,6,1169.328,2,1,1,4,Needs Attention,1169.328,6,1753.992
C10242,3,36,8798.495499999999,5,5,5,15,Champions,8798.495499999999,36,13197.74325
C10243,7,5,1591.891,4,1,2,7,Potential Loyalists,1591.891,5,2387.8365000000003
C10244,2,8,3190.924,5,2,3,10,Loyal Customers,3190.924,8,4786.386
C10245,210,12,3307.9765,1,3,4,8,Potential Loyalists,3307.9765,12,4961.96475
C10246,48,2,290.238,2,1,1,4,Needs Attention,290.238,2,435.35699999999997
C10248,93,6,2125.7605,1,1,3,5,Needs Attention,2125.7605,6,3188.6407499999996
C10249,23,10,2688.6225000000004,3,3,3,9,Potential Loyalists,2688.6225000000004,10,4032.9337500000006
C10250,4,9,1510.2975000000001,5,2,2,9,Potential Loyalists,1510.2975000000001,9,2265.44625
C10251,177,6,997.766,1,1,1,3,At Risk,997.766,6,1496.649
C10252,34,35,10979.658,2,5,5,12,Loyal Customers,10979.658,35,16469.487
C10253,3,11,3395.3199999999997,5,3,4,12,Loyal Customers,3395.3199999999997,11,5092.98
C10254,3,17,5033.9695,5,4,4,13,Champions,5033.9695,17,7550.954250000001
C10255,53,6,1595.382,2,1,2,5,Needs Attention,1595.382,6,2393.0730000000003
C10256,9,9,3562.143,4,2,4,10,Loyal Customers,3562.143,9,5343.2145
C10257,139,6,1660.6595,1,1,2,4,Needs Attention,1660.6595,6,2490.98925
C10258,21,26,6209.248,3,4,4,11,Loyal Customers,6209.248,26,9313.872
C10259,2,25,6555.1195,5,4,4,13,Champions,6555.1195,25,9832.67925
C10260,19,7,2369.9880000000003,3,2,3,8,Potential Loyalists,2369.9880000000003,7,3554.9820000000004
C10261,18,10,1340.4355,3,3,2,8,Potential Loyalists,1340.4355,10,2010.65325
C10262,2,6,1299.5874999999999,5,1,2,8,Potential Loyalists,1299.5874999999999,6,1949.38125
C10263,1,42,12588.0245,5,5,5,15,Champions,12588.0245,42,18882.03675
C10264,26,10,2380.3085,3,3,3,9,Potential Loyalists,2380.3085,10,3570.46275
C10265,7,32,6207.7275,4,5,4,13,Champions,6207.7275,32,9311.59125
C10266,44,17,4120.234,2,4,4,10,Loyal Customers,4120.234,17,6180.351000000001
C10267,41,10,2128.381,2,3,3,8,Potential Loyalists,2128.381,10,3192.5715
C10268,1,45,9862.466,5,5,5,15,Champions,9862.466,45,14793.699
C10269,21,29,8107.1665,3,5,5,13,Champions,8107.1665,29,12160.74975
C10270,12,33,7904.4955,4,5,5,14,Champions,7904.4955,33,11856.74325
C10271,26,5,1300.2779999999998,3,1,2,6,Needs Attention,1300.2779999999998,5,1950.4169999999997
C10272,3,37,6387.1905,5,5,4,14,Champions,6387.1905,37,9580.78575
C10273,3,47,11596.5305,5,5,5,15,Champions,11596.5305,47,17394.79575
C10274,1,4,395.149,5,1,1,7,Potential Loyalists,395.149,4,592.7235000000001
C10275,43,11,3016.2555,2,3,3,8,Potential Loyalists,3016.2555,11,4524.383250000001
C10276,40,3,984.324,2,1,1,4,Needs Attention,984.324,3,1476.4859999999999
C10277,147,2,239.305,1,1,1,3,At Risk,239.305,2,358.9575
C10278,127,4,2218.2709999999997,1,1,3,5,Needs Attention,2218.2709999999997,4,3327.4064999999996
C10279,71,10,4001.6475,1,3,4,8,Potential Loyalists,4001.6475,10,6002.4712500000005
C10280,5,36,8450.4555,5,5,5,15,Champions,8450.4555,36,12675.68325
C10281,149,5,1010.884,1,1,1,3,At Risk,1010.884,5,1516.326
C10282,9,4,442.316,4,1,1,6,Needs Attention,442.316,4,663.4739999999999
C10283,42,5,1803.4515,2,1,2,5,Needs Attention,1803.4515,5,2705.1772499999997
C10284,12,8,2347.7765,4,2,3,9,Potential Loyalists,2347.7765,8,3521.66475
C10285,14,9,3055.053,3,2,3,8,Potential Loyalists,3055.053,9,4582.5795
C10286,30,9,2064.9775,3,2,3,8,Potential Loyalists,2064.9775,9,3097.46625
C10287,25,10,1409.388,3,3,2,8,Potential Loyalists,1409.388,10,2114.082
C10288,71,32,7239.768,1,5,5,11,Loyal Customers,7239.768,32,10859.652
C10289,91,3,687.6705,1,1,1,3,At Risk,687.6705,3,1031.5057499999998
C10290,282,7,2375.879,1,2,3,6,Needs Attention,2375.879,7,3563.8185
C10291,9,52,11734.577,4,5,5,14,Champions,11734.577,52,17601.8655
C10292,10,14,3377.9865,4,4,4,12,Loyal Customers,3377.9865,14,5066.97975
C10293,138,2,288.603,1,1,1,3,At Risk,288.603,2,432.9045
C10294,1,17,4925.5380000000005,5,4,4,13,Champions,4925.5380000000005,17,7388.307000000001
C10295,48,12,2615.6375,2,3,3,8,Potential Loyalists,2615.6375,12,3923.4562499999997
C10296,149,23,3832.599,1,4,4,9,Potential Loyalists,3832.599,23,5748.8985
C10297,5,46,14322.5625,5,5,5,15,Champions,14322.5625,46,21483.84375
C10298,40,5,1110.43,2,1,1,4,Needs Attention,1110.43,5,1665.645
C10299,41,22,4423.1875,2,4,4,10,Loyal Customers,4423.1875,22,6634.78125
C10300,119,8,2518.2215,1,2,3,6,Needs Attention,2518.2215,8,3777.3322500000004
C10301,4,6,979.103,5,1,1,7,Potential Loyalists,979.103,6,1468.6544999999999
C10302,7,4,332.24199999999996,4,1,1,6,Needs Attention,332.24199999999996,4,498.36299999999994
C10303,145,5,1175.715,1,1,1,3,At Risk,1175.715,5,1763.5724999999998
C10304,4,14,4293.053,5,4,4,13,Champions,4293.053,14,6439.5795
C10305,26,8,3655.9985,3,2,4,9,Potential Loyalists,3655.9985,8,5483.99775
C10306,88,5,2141.8675,1,1,3,5,Needs Attention,2141.8675,5,3212.8012499999995
C10307,42,15,2770.918,2,4,3,9,Potential Loyalists,2770.918,15,4156.377
C10308,1,50,10225.2485,5,5,5,15,Champions,10225.2485,50,15337.872749999999
C10309,1,11,3082.9095,5,3,3,11,Loyal Customers,3082.9095,11,4624.3642500000005
C10310,6,42,11740.646,4,5,5,14,Champions,11740.646,42,17610.969
C10311,3,21,4878.4465,5,4,4,13,Champions,4878.4465,21,7317.66975
C10312,23,9,3833.041,3,2,4,9,Potential Loyalists,3833.041,9,5749.5615
C10313,95,12,4181.4245,1,3,4,8,Potential Loyalists,4181.4245,12,6272.13675
C10314,17,11,2815.3244999999997,3,3,3,9,Potential Loyalists,2815.3244999999997,11,4222.98675
C10315,1,10,2220.2435,5,3,3,11,Loyal Customers,2220.2435,10,3330.36525
C10316,222,2,564.8040000000001,1,1,1,3,At Risk,564.8040000000001,2,847.2060000000001
C10317,6,24,5504.3150000000005,4,4,4,12,Loyal Customers,5504.3150000000005,24,8256.4725
C10318,39,28,6017.698,2,4,4,10,Loyal Customers,6017.698,28,9026.547
C10319,13,12,3856.8935,4,3,4,11,Loyal Customers,3856.8935,12,5785.34025
C10320,5,22,7495.0885,5,4,5,14,Champions,7495.0885,22,11242.63275
C10321,26,32,7596.192,3,5,5,13,Champions,7596.192,32,11394.288
C10322,184,6,1428.729,1,1,2,4,Needs Attention,1428.729,6,2143.0935
